source_id,hip,ref_epoch,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag
3.39E+18,,2015,77.26298372,12.96409347,72.99630562,-23.2591848,19.0023472,8.959140178
3.62E+16,,2015,56.35246786,10.67369553,-77.49519645,-44.39131485,19.03207037,9.368993665
3.31E+18,,2015,68.63448474,15.82747183,90.29344666,-20.07774673,19.06145735,9.341705259
1.52E+17,20528,2015,65.97965281,27.82237587,-16.09022152,-41.03419023,19.07952415,10.40319869
3.39E+18,,2015,75.20542925,15.44994883,17.29133872,-58.21287983,19.10110685,10.27930261
3.54E+16,13600,2015,43.81838292,17.89165678,120.2699941,-12.98332076,19.11264402,8.584962029
3.41E+18,,2015,68.171009,19.11334169,90.62103421,-33.22724084,19.12253284,10.03925596
1.44E+16,15074,2015,48.57538405,9.13057223,284.1370806,-80.47912877,19.12817288,10.54842652
2.28E+17,20395,2015,65.50088571,39.93347684,-23.24613129,-116.7819133,19.13572236,6.841809198
2.25E+17,17747,2015,57.00185046,40.53072791,53.38148371,21.86275486,19.17329026,7.073549369
1.56E+17,24005,2015,77.41246958,29.79044005,65.58255071,1.949968409,19.17336839,8.289679703
3.23E+18,,2015,75.34929698,2.115364682,43.69019063,-125.8001989,19.19399775,9.434498568
3.40E+18,22688,2015,73.18874301,14.62297135,199.8480416,-37.66063819,19.21284812,7.318029101
3.03E+16,15394,2015,49.61317275,15.17618627,14.52392972,-287.1295773,19.24061199,7.157493262
3.24E+18,23312,2015,75.20399712,4.733153564,72.64902177,9.970148077,19.24836128,9.377253351
1.15E+17,,2015,41.94893243,26.58594195,-67.9776346,-62.21062837,19.29806496,10.81974267
3.35E+18,,2015,86.55423373,13.10202195,77.98071895,-142.0665081,19.32310979,11.38486455
3.30E+18,21918,2015,70.70382871,12.20881743,82.44015415,-227.4965382,19.32651934,7.186566214
3.31E+18,,2015,66.99614693,18.50011117,105.0970331,-34.77514901,19.41392723,9.696930501
3.12E+18,,2015,95.33390688,-3.19713937,-0.430160303,-108.0983737,19.43394697,10.62865796
2.24E+17,,2015,57.00465554,38.34429114,-64.42606908,12.79005032,19.44955041,8.192048286
1.19E+17,,2015,51.67118095,28.69792421,40.43943596,-104.1007522,19.44989871,9.557790608
3.39E+18,24558,2015,79.03672873,16.94175757,-148.7275079,-159.4538304,19.47784241,10.03024774
1.85E+16,12087,2015,38.95021487,6.604479718,302.7997238,31.44367629,19.50563018,10.05287128
3.42E+18,,2015,78.94100787,27.74102252,3.038928675,-58.9158448,19.52535023,9.674570296
3.25E+18,,2015,55.29345165,-2.827144441,-77.03713415,-136.055938,19.53164057,9.780300258
3.12E+18,30030,2015,94.78361751,-3.439164684,10.73003819,-42.05241403,19.5325087,7.671044903
3.26E+18,17024,2015,54.74512885,0.796444747,56.33616229,-18.99154385,19.55896417,8.406175252
5.25E+16,19934,2015,64.13996031,21.90730764,104.6800727,-38.40561053,19.56346165,8.867396826
3.26E+18,,2015,58.76541077,-0.330086736,62.83947504,-126.9066589,19.56529219,9.982083855
3.21E+18,20752,2015,66.70325671,-1.724488504,-35.97751206,31.04225844,19.57550986,7.866837739
1.01E+17,11572,2015,37.28141977,22.86721426,181.8718227,-210.3050281,19.58526696,9.096294933
3.25E+18,,2015,53.82929527,-2.83564019,-31.85654649,-58.0558651,19.59497907,9.481714702
3.23E+18,22319,2015,72.11525182,2.715670657,5.483836122,80.65923156,19.60861203,6.232075892
3.40E+18,,2015,86.63613347,20.30368421,47.93900638,-97.07349793,19.61820801,8.416070483
3.39E+18,25127,2015,80.67804932,13.22888285,12.16903623,-46.84982026,19.6222241,8.901969981
3.31E+18,,2015,66.85602698,14.26058358,96.92481582,-11.37287319,19.6249023,9.94383888
3.27E+18,,2015,54.70409425,2.274198213,86.52336172,-50.95864453,19.67452884,9.063100803
3.43E+16,,2015,44.99201012,16.5629345,-39.74830531,61.83510136,19.6746407,10.66578761
1.44E+17,,2015,67.40473119,19.63927242,-45.39880399,-60.57862663,19.68860163,9.070515007
6.07E+16,14810,2015,47.80927567,21.0971378,-3.645412362,-53.22410019,19.69752139,8.283290244
3.20E+18,,2015,71.56320779,-3.69780284,32.59825095,89.72342528,19.70180968,8.518046419
1.10E+17,14809,2015,47.80792608,22.41534306,55.65611823,-125.1933393,19.71122375,8.2831393
3.26E+18,,2015,59.95510003,1.098366838,-43.70788376,12.60758061,19.711708,10.1159292
3.45E+18,26326,2015,84.10413671,32.00336109,-11.00522676,-45.53603846,19.73540569,7.817010797
1.13E+16,16560,2015,53.30501627,7.452568259,-65.48709666,-70.82362797,19.77843881,10.61276612
3.45E+18,,2015,92.46235096,32.4966437,-65.34616232,-32.21414369,19.7966181,9.602799939
3.37E+18,29221,2015,92.42437377,19.09216552,-31.72259528,-170.4302125,19.80421113,9.565696357
3.41E+18,22654,2015,73.09839671,18.99676069,79.24230952,-35.2125234,19.84727623,9.846421287
4.94E+16,19870,2015,63.92730877,20.81965118,109.6238438,-35.15067444,19.86950506,7.599896338
3.31E+18,20567,2015,66.09324049,17.07884356,99.90860387,-26.65316727,19.8785956,6.827615283
3.12E+18,,2015,94.69236743,-3.011751218,19.19698256,-60.38392983,19.89142765,8.172709294
3.41E+18,,2015,73.19851038,22.64708244,73.02842561,-52.01880292,19.90177017,10.84926659
6.32E+16,,2015,56.09154264,20.49908654,1.17487685,-77.76121343,19.92584398,9.020167481
3.42E+18,,2015,76.55799953,27.5323884,27.98207918,-132.4713459,19.93874652,10.02231262
3.34E+17,12635,2015,40.58773129,38.62209618,83.1353336,-107.4118112,19.9561365,9.848679866
3.31E+18,,2015,69.02236017,15.68390433,96.04761221,-24.18323388,19.96150199,9.070844622
1.05E+16,,2015,48.78384653,7.100914365,45.52560363,-26.26629797,19.96563406,8.665914029
3.26E+18,,2015,51.29716464,-1.731109846,-106.3993822,-147.0916335,19.98415512,8.757872567
3.31E+18,20284,2015,65.22012711,13.86437441,106.0626457,-14.60451886,19.98520286,6.023073206
3.41E+18,22524,2015,72.70262587,16.21034161,83.09716294,-26.25011665,20.07246251,7.134616335
1.89E+17,24583,2015,79.11333394,39.85741721,-0.952550411,-182.5985266,20.10268007,8.698878752
1.45E+17,20480,2015,65.84348635,21.37894007,99.37438169,-37.93542069,20.11601323,8.586330689
1.42E+17,12790,2015,41.09985839,36.8862874,205.0882306,-185.6176574,20.11767454,10.47709122
1.45E+17,,2015,67.69135512,22.1454747,-26.57363658,-183.1159336,20.12636346,11.18898778
1.62E+17,,2015,73.73438907,34.16848952,-64.20498338,-58.54802373,20.13419427,9.37866059
3.29E+18,21308,2015,68.62630755,10.01613971,115.9105218,-67.92167185,20.13947839,7.524718893
3.42E+18,28736,2015,90.99546889,23.00650008,-38.3787275,-350.5851821,20.17746682,10.36839589
1.52E+17,20652,2015,66.37889692,26.29181564,39.88455844,-95.72569972,20.17790237,10.47671095
1.20E+17,,2015,55.76473531,30.18941965,176.2808649,-153.1382498,20.22110825,8.322994953
3.27E+18,,2015,50.79637059,2.490021541,51.28140829,-20.82626975,20.24399784,9.234825478
8.12E+16,,2015,38.97628574,15.24861058,60.45526589,-52.60264208,20.2550832,9.149399322
4.80E+16,20614,2015,66.23848293,19.04186487,105.188299,-34.48539981,20.28310295,5.870505215
3.30E+18,,2015,71.92491224,12.23396472,27.46371946,-41.11962723,20.28744219,9.943896598
3.31E+18,,2015,68.40862242,16.76239345,97.93762099,-25.17302998,20.30598994,9.080378818
1.37E+17,13653,2015,43.95041005,34.47244596,132.6425248,-97.33416342,20.31928622,9.822005713
6.14E+16,,2015,51.82424964,21.11381893,-52.89081308,19.99465428,20.32763136,9.77209356
2.50E+18,11815,2015,38.09717966,3.382700485,140.6822527,16.51108841,20.33348875,11.06824584
